review,sentiment
Waste of money!,0
Highly recommend!,1
Never again!,0
Excellent!,1
Perfect!,1
Never again!,0
Not worth it!,0
Perfect!,1
Fantastic!,1
Terrible!,0
Worth it!,1
Perfect!,1
Hated it!,0
Perfect!,1
Waste of money!,0
Broken!,0
Bad service!,0
I love this!,1
Hated it!,0
Broken!,0
Terrible!,0
Waste of money!,0
Terrible!,0
Hated it!,0
So happy!,1
Waste of money!,0
Not worth it!,0
Amazing!,1
Amazing!,1
Never again!,0
Bad service!,0
Hated it!,0
Terrible!,0
Highly recommend!,1
Best ever!,1
Poor quality!,0
Misleading!,0
I love this!,1
Worth it!,1
Highly recommend!,1
Never again!,0
Highly recommend!,1
Bad service!,0
Excellent!,1
Highly recommend!,1
Great!,1
I love this!,1
Amazing!,1
Bad service!,0
Best ever!,1
Best ever!,1
Best ever!,1
Amazing!,1
Terrible!,0
Highly recommend!,1
Excellent!,1
Fantastic!,1
Fantastic!,1
Perfect!,1
Fantastic!,1
Never again!,0
Disappointing!,0
Poor quality!,0
Poor quality!,0
Worth it!,1
Worth it!,1
Waste of money!,0
So happy!,1
Fantastic!,1
Waste of money!,0
Disappointing!,0
Waste of money!,0
Not worth it!,0
Terrible!,0
Not worth it!,0
Never again!,0
Broken!,0
Worth it!,1
Bad service!,0
Bad service!,0
Perfect!,1
Best ever!,1
Not worth it!,0
Best ever!,1
Waste of money!,0
I love this!,1
I love this!,1
Never again!,0
Disappointing!,0
Broken!,0
Waste of money!,0
Disappointing!,0
Disappointing!,0
Never again!,0
Waste of money!,0
Not worth it!,0
So happy!,1
Excellent!,1
Broken!,0
Excellent!,1
Worth it!,1
Poor quality!,0
Worth it!,1
Disappointing!,0
Disappointing!,0
So happy!,1
Waste of money!,0
Worth it!,1
Waste of money!,0
Best ever!,1
Great!,1
Poor quality!,0
Bad service!,0
Excellent!,1
Never again!,0
Waste of money!,0
Great!,1
Great!,1
Great!,1
Best ever!,1
I love this!,1
So happy!,1
Terrible!,0
Highly recommend!,1
Amazing!,1
Great!,1
Not worth it!,0
Highly recommend!,1
So happy!,1
Misleading!,0
Amazing!,1
Highly recommend!,1
Terrible!,0
Waste of money!,0
I love this!,1
Great!,1
Best ever!,1
Perfect!,1
Great!,1
Bad service!,0
So happy!,1
Fantastic!,1
Misleading!,0
Perfect!,1
Poor quality!,0
Hated it!,0
Highly recommend!,1
Best ever!,1
Waste of money!,0
Hated it!,0
Excellent!,1
So happy!,1
Excellent!,1
So happy!,1
Disappointing!,0
Not worth it!,0
Highly recommend!,1
Fantastic!,1
Bad service!,0
I love this!,1
I love this!,1
Broken!,0
Broken!,0
Worth it!,1
Not worth it!,0
Waste of money!,0
So happy!,1
Great!,1
Poor quality!,0
Fantastic!,1
Great!,1
Great!,1
Misleading!,0
Fantastic!,1
Perfect!,1
Excellent!,1
Poor quality!,0
Amazing!,1
Perfect!,1
Misleading!,0
Terrible!,0
Excellent!,1
Never again!,0
Bad service!,0
Never again!,0
Amazing!,1
Bad service!,0
Great!,1
I love this!,1
Fantastic!,1
Poor quality!,0
Bad service!,0
Terrible!,0
Disappointing!,0
Worth it!,1
Fantastic!,1
Excellent!,1
Best ever!,1
Best ever!,1
Not worth it!,0
Not worth it!,0
Highly recommend!,1
Excellent!,1
Excellent!,1
Highly recommend!,1
Worth it!,1
Fantastic!,1
Perfect!,1
Broken!,0
Broken!,0
Terrible!,0
Worth it!,1
Terrible!,0
Misleading!,0
Bad service!,0
Never again!,0
Misleading!,0
Excellent!,1
Poor quality!,0
Perfect!,1
Disappointing!,0
Never again!,0
So happy!,1
So happy!,1
Worth it!,1
Never again!,0
Perfect!,1
Misleading!,0
Hated it!,0
Worth it!,1
Amazing!,1
Worth it!,1
Hated it!,0
So happy!,1
Terrible!,0
Hated it!,0
Broken!,0
Fantastic!,1
I love this!,1
Great!,1
Poor quality!,0
Perfect!,1
Misleading!,0
I love this!,1
Terrible!,0
Highly recommend!,1
Amazing!,1
Fantastic!,1
Never again!,0
Great!,1
Misleading!,0
Hated it!,0
Never again!,0
Fantastic!,1
Not worth it!,0
Hated it!,0
So happy!,1
Disappointing!,0
Great!,1
Not worth it!,0
Not worth it!,0
Highly recommend!,1
Broken!,0
So happy!,1
Highly recommend!,1
Worth it!,1
Disappointing!,0
Great!,1
Not worth it!,0
Best ever!,1
Highly recommend!,1
Best ever!,1
So happy!,1
Bad service!,0
Broken!,0
Waste of money!,0
Hated it!,0
Bad service!,0
Never again!,0
Excellent!,1
Disappointing!,0
Highly recommend!,1
Broken!,0
Worth it!,1
Worth it!,1
Terrible!,0
Misleading!,0
Never again!,0
Hated it!,0
Waste of money!,0
Bad service!,0
Never again!,0
Hated it!,0
Terrible!,0
Best ever!,1
Worth it!,1
Not worth it!,0
Disappointing!,0
Not worth it!,0
Waste of money!,0
Disappointing!,0
Highly recommend!,1
Waste of money!,0
Perfect!,1
So happy!,1
Great!,1
Broken!,0
Best ever!,1
Excellent!,1
I love this!,1
